RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
149,Sean TuckerTB,RB,6,15,23,1.5,7,0,0,3.8,0,0,1
155,Velus Jones Jr.CHI,WR,7,4,22,5.5,17,0,0,3.1,0,0,1
155,Kenny PickettPIT,QB,7,25,22,0.9,10,0,1,3.1,1,0,8
155,J.K. DobbinsBAL,RB,1,8,22,2.8,4,0,1,22,0,0,1
155,Erik EzukanmaMIA,WR,2,5,22,4.4,12,0,0,11,0,0,1
159,Jerick McKinnonKC,RB,8,11,21,1.9,10,0,0,2.6,0,0,4
159,Malik WillisTEN,QB,3,5,21,4.2,11,0,0,7,1,1,1
159,Tyrion Davis-PriceSF,RB,1,6,21,3.5,15,0,0,21,0,0,1
162,Derek CarrNO,QB,8,15,20,1.3,10,0,0,2.5,0,0,3
162,Curtis SamuelWSH,WR,8,4,20,5,13,0,1,2.5,0,0,2
162,Mike BooneHOU,RB,6,3,20,6.7,11,0,0,3.3,1,0,2
165,Gary BrightwellNYG,RB,7,9,19,2.1,5,0,0,2.7,0,0,0
166,Mitch TrubiskyPIT,QB,2,3,18,6,8,0,0,9,0,0,1
166,Rashod BatemanBAL,WR,7,1,18,18,18,0,0,2.6,0,0,1
168,George PickensPIT,WR,7,1,16,16,16,0,0,2.3,0,0,1
169,Jared GoffDET,QB,7,16,15,0.9,11,0,2,2.1,0,0,4
169,Brandon PowellMIN,WR,8,4,15,3.8,9,0,0,1.9,0,0,1
169,Devin DuvernayBAL,WR,8,3,15,5,8,0,0,1.9,0,0,0
169,Xavier HutchinsonHOU,WR,7,2,15,7.5,12,0,0,2.1,0,0,1
173,Taylor HeinickeATL,QB,1,2,14,7,11,0,0,14,0,0,0
173,Chris GodwinTB,WR,7,1,14,14,14,0,0,2,0,0,1
173,Tyreek HillMIA,WR,8,1,14,14,14,0,0,1.8,0,0,1
173,Deon JacksonIND/CLE,RB,3,13,14,1.1,7,0,0,4.7,1,1,1
173,DeeJay DallasSEA,RB,7,5,14,2.8,8,0,0,2,0,0,0
173,Calvin Austin IIIPIT,WR,7,5,14,2.8,10,0,0,2,0,0,1
179,Hunter LuepkeDAL,RB,7,3,13,4.3,9,0,1,1.9,0,0,2
179,Zonovan KnightDET,RB,2,3,13,4.3,8,0,0,6.5,0,0,0
181,Andy DaltonCAR,QB,3,3,12,4,10,0,0,4,0,0,2
181,Chris EvansCIN,RB,5,2,12,6,7,0,0,2.4,0,0,0
181,Tommy DeVitoNYG,QB,1,4,12,3,6,0,1,12,0,0,1
181,Zay FlowersBAL,WR,8,6,12,2,6,0,0,1.5,0,0,0
185,Braxton BerriosMIA,WR,8,1,11,11,11,0,0,1.4,0,0,1
185,Isaiah McKenzieIND,WR,8,2,11,5.5,7,0,0,1.4,0,0,0
185,Drew LockSEA,QB,1,1,11,11,11,0,0,11,0,0,1
185,Ben SkowronekLAR,WR,8,1,11,11,11,0,0,1.4,0,0,1
185,Keisean NixonGB,CB,7,1,11,11,11,0,0,1.6,0,0,1
185,Will LevisTEN,QB,1,7,11,1.6,5,0,0,11,0,0,2
185,Elijah MooreCLE,WR,7,8,11,1.4,19,0,0,1.6,0,0,2
192,Calvin RidleyJAX,WR,8,4,10,2.5,11,0,0,1.3,0,0,1
192,Jake FunkIND,RB,4,2,10,5,7,0,0,2.5,0,0,0
192,Zach EvansLAR,RB,3,4,10,2.5,3,0,0,3.3,0,0,0
195,Rashaad PennyPHI,RB,1,3,9,3,6,0,0,9,0,0,1
195,Treylon BurksTEN,WR,4,1,9,9,9,0,0,2.3,0,0,0
197,Tyler HuntleyBAL,QB,2,2,8,4,6,0,0,4,0,0,0
198,Ty Montgomery IINE,WR,8,2,7,3.5,7,0,0,0.9,0,0,0
199,Keenan AllenLAC,WR,7,2,6,3,4,0,0,0.9,0,0,1
199,Kyle JuszczykSF,FB,8,5,6,1.2,3,0,0,0.8,0,0,2
199,Adam ThielenCAR,WR,7,1,6,6,6,0,0,0.9,0,0,0
199,Tyler BoydCIN,WR,7,1,6,6,6,0,0,0.9,0,0,1
199,Christian KirkJAX,WR,8,1,6,6,6,0,0,0.8,0,0,0
199,Harrison BryantCLE,TE,7,3,6,2,2,0,0,0.9,0,0,3
199,Elijah DotsonLAC,RB,4,4,6,1.5,2,0,0,1.5,0,0,0
199,Chase BrownCIN,RB,5,2,6,3,4,0,0,1.2,0,0,0
199,Garrett WilsonNYJ,WR,7,1,6,6,6,0,0,0.9,0,0,0
208,Devine OzigboDET,RB,2,3,5,1.7,4,0,0,2.5,0,0,1
208,Adam PrenticeNO,FB,5,1,5,5,5,0,0,1,1,1,0
208,Darnell MooneyCHI,WR,8,2,5,2.5,3,0,0,0.6,0,0,0
211,Ameer AbdullahLV,RB,7,1,4,4,4,0,0,0.6,0,0,0
211,Dare OgunbowaleHOU,RB,2,2,4,2,2,0,0,2,0,0,1
211,Kendrick BourneNE,WR,8,1,4,4,4,0,0,0.5,0,0,1
211,Ashtyn DavisNYJ,S,7,1,4,4,4,0,0,0.6,0,0,1
211,Gerald EverettLAC,TE,6,2,4,2,2,0,0,0.7,0,0,0
211,Van JeffersonATL/LAR,WR,8,1,4,4,4,0,0,0.5,0,0,0
211,Chigoziem OkonkwoTEN,TE,7,1,4,4,4,0,0,0.6,0,0,1
211,Amon-Ra St. BrownDET,WR,6,1,4,4,4,0,0,0.7,0,0,0
211,Puka NacuaLAR,WR,8,2,4,2,4,0,0,0.5,0,0,1
220,Michael BurtonDEN,FB,8,4,3,0.8,3,0,0,0.4,0,0,2
220,DeAndre CarterLV,WR,7,2,3,1.5,3,0,0,0.4,0,0,1
220,Jalen Reeves-MaybinDET,LB,7,1,3,3,3,0,0,0.4,0,0,1
220,Mike WilliamsLAC,WR,3,1,3,3,3,0,0,1,0,0,0
220,Andrew BeckHOU,FB,7,4,3,0.8,2,0,1,0.4,0,0,2
220,Mecole Hardman Jr.KC/NYJ,WR,7,1,3,3,3,0,0,0.4,0,0,0
220,Aidan O'ConnellLV,QB,2,3,3,1,2,0,1,1.5,0,0,2
220,Jake BoboSEA,WR,7,1,3,3,3,0,1,0.4,0,0,1
228,Logan ThomasWSH,TE,7,1,2,2,2,0,0,0.3,0,0,1
228,George KittleSF,TE,8,1,2,2,2,0,0,0.3,0,0,1
228,Ezekiel TurnerARI,LB,8,1,2,2,2,0,0,0.3,0,0,1
228,Amani HookerTEN,S,6,1,2,2,2,0,0,0.3,0,0,1
228,Deonte HartyBUF,WR,8,3,2,0.7,4,0,0,0.3,0,0,0
228,Jordan AddisonMIN,WR,8,1,2,2,2,0,0,0.3,0,0,0
228,Marvin Mims Jr.DEN,WR,8,4,2,0.5,8,0,0,0.3,0,0,0
235,Nick BawdenNYJ,FB,7,1,1,1,1,0,1,0.1,0,0,1
235,Noah GrayKC,TE,8,1,1,1,1,0,0,0.1,0,0,0
235,Cole KmetCHI,TE,8,2,1,0.5,1,0,0,0.1,0,0,1
235,Dontayvion WicksGB,WR,7,1,1,1,1,0,0,0.1,0,0,0
235,Evan HullIND,RB,1,1,1,1,1,0,0,1,0,0,0
240,Kenyan DrakeBAL,RB,2,1,0,0,0,0,0,0,0,0,0
240,KhaDarel HodgeATL,WR,8,1,0,0,0,0,0,0,1,0,0
240,Jason CabindaDET,FB,3,1,0,0,0,0,0,0,0,0,0
240,Mark AndrewsBAL,TE,7,1,0,0,0,0,0,0,0,0,0
240,Jakobi MeyersLV,WR,6,1,0,0,0,0,0,0,0,0,0
240,Alec IngoldMIA,FB,8,2,0,0,0,0,0,0,0,0,0
