RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Christian McCaffrey,RB,3,60,353,5.9,65,2,3,117.7,0,0,15
2,D'Andre Swift,RB,3,45,308,6.8,43,3,1,102.7,0,0,16
3,James Cook,RB,3,44,267,6.1,36,2,0,89,0,0,12
4,James Conner,RB,3,51,266,5.2,26,4,2,88.7,0,0,14
5,Tony Pollard,RB,3,62,264,4.3,31,3,2,88,0,0,16
6,Raheem Mostert,RB,3,41,240,5.9,43,2,6,80,0,0,13
7,Brian Robinson Jr.,RB,3,47,216,4.6,27,2,2,72,0,0,16
8,Bijan Robinson,RB,3,39,213,5.5,21,1,0,71,0,0,13
9,Zack Moss,RB,2,48,210,4.4,24,2,1,105,0,0,14
10,De'Von Achane,RB,2,19,208,10.9,67,3,2,104,0,0,6
11,Travis Etienne Jr.,RB,3,49,205,4.2,26,1,1,68.3,0,0,9
12,Kenneth Walker III,RB,3,47,204,4.3,36,1,4,68,0,0,13
13,Lamar Jackson,QB,3,32,193,6,16,0,2,64.3,1,0,14
14,Joe Mixon,RB,3,45,180,4,22,1,1,60,0,0,11
15,Nick Chubb,RB,2,28,170,6.1,20,1,0,85,0,0,8
16,Derrick Henry,RB,3,51,163,3.2,23,1,1,54.3,0,0,9
17,Jerome Ford,RB,3,41,160,3.9,69,1,1,53.3,1,1,5
18,Alexander Mattison,RB,3,39,155,4,15,0,0,51.7,1,1,7
18,Isiah Pacheco,RB,3,35,155,4.4,31,1,1,51.7,0,0,11
20,Breece Hall,RB,3,26,154,5.9,83,2,0,51.3,2,0,4
21,Rachaad White,RB,3,48,150,3.1,13,0,1,50,0,0,8
22,Gus Edwards,RB,3,29,145,5,20,1,1,48.3,0,0,10
23,Joshua Kelley,RB,3,40,142,3.5,15,0,1,47.3,0,0,12
23,Kyren Williams,RB,3,39,142,3.6,9,0,3,47.3,0,0,9
25,David Montgomery,RB,2,37,141,3.8,16,0,2,70.5,1,1,7
26,Miles Sanders,RB,3,41,139,3.4,15,0,1,46.3,1,1,6
26,Najee Harris,RB,3,35,139,4,24,2,0,46.3,0,0,7
26,Jahmyr Gibbs,RB,3,31,139,4.5,21,1,0,46.3,0,0,6
29,Javonte Williams,RB,3,36,138,3.8,16,0,0,46,0,0,6
30,Tyler Allgeier,RB,3,38,135,3.6,22,1,2,45,0,0,9
31,Rhamondre Stevenson,RB,3,46,134,2.9,12,0,1,44.7,0,0,8
32,Ezekiel Elliott,RB,3,28,122,4.4,14,0,0,40.7,0,0,8
33,Austin Ekeler,RB,1,16,117,7.3,55,1,1,117,0,0,4
34,Saquon Barkley,RB,2,29,114,3.9,18,0,1,57,0,0,7
35,Justin Fields,QB,3,24,109,4.5,17,0,1,36.3,1,0,7
36,Josh Jacobs,RB,3,45,108,2.4,10,0,0,36,0,0,6
37,Daniel Jones,QB,3,24,107,4.5,15,0,1,35.7,1,0,9
37,AJ Dillon,RB,3,39,107,2.7,14,0,0,35.7,0,0,5
39,Patrick Mahomes,QB,3,16,103,6.4,16,0,0,34.3,0,0,8
40,Jalen Hurts,QB,3,31,100,3.2,14,0,3,33.3,1,1,13
40,Dameon Pierce,RB,3,40,100,2.5,10,0,1,33.3,0,0,3
42,Kenneth Gainwell,RB,2,28,97,3.5,16,0,0,48.5,0,0,4
43,Joshua Dobbs,QB,3,12,93,7.8,44,2,1,31,2,1,6
43,Khalil Herbert,RB,3,23,93,4,12,0,0,31,0,0,5
45,Taysom Hill,QB,3,16,91,5.7,19,0,0,30.3,0,0,5
46,Roschon Johnson,RB,3,17,90,5.3,29,1,1,30,0,0,5
