RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
47,Josh Allen,QB,3,12,89,7.4,23,1,1,29.7,2,1,8
48,Deshaun Watson,QB,3,15,83,5.5,13,0,1,27.7,2,1,7
49,Tyjae Spears,RB,3,15,82,5.5,17,0,0,27.3,0,0,5
50,Chuba Hubbard,RB,3,12,78,6.5,21,1,0,26,0,0,7
51,Clyde Edwards-Helaire,RB,3,22,77,3.5,16,0,1,25.7,0,0,5
52,Anthony Richardson,QB,2,13,75,5.8,18,0,3,37.5,0,0,5
53,Jamaal Williams,RB,2,27,74,2.7,11,0,0,37,1,0,3
53,Jordan Love,QB,3,14,74,5.3,24,2,1,24.7,1,0,4
55,Zach Charbonnet,RB,3,16,73,4.6,12,0,0,24.3,0,0,7
56,Rico Dowdle,RB,3,17,71,4.2,10,0,0,23.7,0,0,3
57,Devin Singletary,RB,3,20,70,3.5,14,0,0,23.3,0,0,1
57,Tony Jones Jr.,RB,3,21,70,3.3,19,0,2,23.3,0,0,6
59,Chris Brooks,RB,3,9,66,7.3,52,1,0,22,0,0,1
59,Rondale Moore,WR,3,5,66,13.2,45,1,1,22,0,0,1
61,Trevor Lawrence,QB,3,15,59,3.9,18,0,0,19.7,1,1,4
62,Dalvin Cook,RB,3,25,58,2.3,10,0,0,19.3,1,1,4
63,Russell Wilson,QB,3,7,57,8.1,15,0,0,19,0,0,6
64,Jaylen Warren,RB,3,17,55,3.2,11,0,0,18.3,0,0,2
65,Samaje Perine,RB,3,12,54,4.5,12,0,0,18,0,0,3
66,Mac Jones,QB,3,11,53,4.8,18,0,0,17.7,0,0,7
67,Elijah Mitchel,RB,2,16,52,3.3,18,0,0,26,0,0,2
68,Damien Harris,RB,3,13,51,3.9,11,0,1,17,0,0,4
68,Bryce Young,QB,2,5,51,10.2,26,1,0,25.5,1,0,2
70,Justice Hill,RB,2,19,50,2.6,11,0,2,25,0,0,4
71,Deebo Samuel,WR,3,8,48,6,17,0,1,16,0,0,2
72,Latavius Murray,RB,3,13,45,3.5,8,0,2,15,0,0,4
73,Dak Prescott,QB,3,10,44,4.4,15,0,0,14.7,0,0,4
74,Boston Scott,RB,2,6,43,7.2,18,0,0,21.5,0,0,3
74,Zach Wilson,QB,3,10,43,4.3,16,0,0,14.3,0,0,3
76,Sam Howell,QB,3,5,42,8.4,18,0,1,14,0,0,3
77,Aaron Jones,RB,1,9,41,4.6,9,0,1,41,0,0,3
77,Desmond Ridder,QB,3,13,41,3.2,9,0,1,13.7,0,0,3
79,Matthew Stafford,QB,3,8,35,4.4,9,0,0,11.7,0,0,3
79,Antonio Gibson,RB,3,7,35,5,13,0,0,11.7,1,1,2
79,C.J. Stroud,QB,3,10,35,3.5,11,0,0,11.7,1,0,2
82,Tre Tucker,WR,2,1,34,34,34,1,0,17,0,0,1
82,Kendre Miller,RB,1,9,34,3.8,10,0,0,34,0,0,3
84,Melvin Gordon III,RB,1,10,32,3.2,15,0,0,32,0,0,1
85,Matt Breida,RB,3,7,31,4.4,8,0,1,10.3,0,0,2
86,Baker Mayfield,QB,3,15,30,2,9,0,0,10,0,0,2
87,Patrick Taylor,RB,3,9,29,3.2,10,0,0,9.7,0,0,1
87,Cam Akers,RB,1,22,29,1.3,12,0,1,29,0,0,4
87,Marquise Brown,WR,3,1,29,29,29,1,0,9.7,0,0,1
90,Justin Herbert,QB,3,8,28,3.5,12,0,1,9.3,0,0,5
90,Pierre Strong Jr.,RB,3,8,28,3.5,9,0,1,9.3,0,0,2
92,Ty Chandler,RB,3,7,27,3.9,12,0,0,9,0,0,1
92,Tutu Atwell,WR,3,2,27,13.5,22,1,0,9,0,0,1
94,Salvon Ahmed,RB,2,6,24,4,10,0,0,12,0,0,1
94,Brock Purdy,QB,3,10,24,2.4,17,0,1,8,2,0,4
94,Zamir White,RB,3,5,24,4.8,8,0,0,8,1,1,1
94,Deuce Vaughn,RB,3,9,24,2.7,13,0,0,8,0,0,1
98,Elijah Moore,WR,3,6,23,3.8,19,0,0,7.7,0,0,1
98,Tank Bigsby,RB,3,9,23,2.6,9,0,2,7.7,0,0,5
98,Sean Tucker,RB,3,15,23,1.5,7,0,0,7.7,0,0,1
