RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Christian McCaffreySF,RB,4,80,459,5.7,65,2,6,114.8,0,0,23
2,D'Andre SwiftPHI,RB,4,59,364,6.2,43,3,2,91,0,0,17
3,James ConnerARI,RB,4,62,318,5.1,26,4,2,79.5,0,0,15
3,Bijan RobinsonATL,RB,4,53,318,6,38,3,0,79.5,0,0,18
5,Tony PollardDAL,RB,4,73,311,4.3,31,3,2,77.8,0,0,18
6,De'Von AchaneMIA,RB,3,27,309,11.4,67,4,4,103,0,0,10
7,James CookBUF,RB,4,56,296,5.3,36,2,1,74,0,0,14
8,Derrick HenryTEN,RB,4,73,285,3.9,29,2,2,71.3,0,0,16
9,Zack MossIND,RB,3,66,280,4.2,24,3,1,93.3,0,0,17
10,Isiah PachecoKC,RB,4,55,270,4.9,48,2,2,67.5,0,0,16
11,David MontgomeryDET,RB,3,69,262,3.8,16,0,5,87.3,1,1,16
12,Brian Robinson Jr.WSH,RB,4,61,261,4.3,27,2,3,65.3,1,0,20
13,Travis Etienne Jr.JAX,RB,4,69,260,3.8,26,1,1,65,0,0,10
14,Alexander MattisonMIN,RB,4,56,250,4.5,17,0,0,62.5,1,1,10
15,Raheem MostertMIA,RB,4,48,249,5.2,43,2,6,62.3,1,1,14
16,Joe MixonCIN,RB,4,59,247,4.2,22,1,1,61.8,0,0,15
17,Kyren WilliamsLAR,RB,4,64,245,3.8,20,1,5,61.3,1,0,15
18,Lamar JacksonBAL,QB,4,41,220,5.4,16,0,4,55,3,1,17
19,Najee HarrisPIT,RB,4,49,210,4.3,24,3,0,52.5,0,0,10
19,Breece HallNYJ,RB,4,32,210,6.6,83,3,0,52.5,2,0,6
21,Joshua KelleyLAC,RB,4,57,207,3.6,22,1,1,51.8,0,0,15
22,Rachaad WhiteTB,RB,4,63,206,3.3,13,0,1,51.5,0,0,11
23,Kenneth Walker IIISEA,RB,3,47,204,4.3,36,1,4,68,0,0,13
24,Khalil HerbertCHI,RB,4,41,196,4.8,24,2,0,49,0,0,10
25,Gus EdwardsBAL,RB,4,44,193,4.4,20,1,1,48.3,0,0,11
26,Jerome FordCLE,RB,4,50,186,3.7,69,1,1,46.5,1,1,6
27,Dameon PierceHOU,RB,4,64,181,2.8,13,0,1,45.3,0,0,7
28,Jahmyr GibbsDET,RB,4,39,179,4.6,21,1,0,44.8,0,0,8
29,Nick ChubbCLE,RB,2,28,170,6.1,20,1,0,85,0,0,8
30,Josh JacobsLV,RB,4,62,166,2.7,10,0,1,41.5,0,0,10
31,Rhamondre StevensonNE,RB,4,60,164,2.7,12,0,1,41,0,0,9
32,Miles SandersCAR,RB,4,54,158,2.9,15,0,1,39.5,1,1,7
33,Patrick MahomesKC,QB,4,23,154,6.7,25,1,0,38.5,1,0,12
34,Tyler AllgeierATL,RB,4,45,151,3.4,22,1,2,37.8,0,0,10
35,Joshua DobbsARI,QB,4,24,141,5.9,44,2,1,35.3,3,1,11
36,Ezekiel ElliottNE,RB,4,34,138,4.1,14,0,0,34.5,0,0,9
36,Javonte WilliamsDEN,RB,4,38,138,3.6,16,0,0,34.5,0,0,6
38,Jalen HurtsPHI,QB,4,40,134,3.3,24,1,3,33.5,1,1,17
38,Justin FieldsCHI,QB,4,28,134,4.8,20,1,1,33.5,1,0,8
40,Anthony RichardsonIND,QB,3,23,131,5.7,23,1,4,43.7,2,1,8
41,Tyjae SpearsTEN,RB,4,20,122,6.1,22,1,0,30.5,0,0,7
42,Chuba HubbardCAR,RB,4,26,119,4.6,21,1,0,29.8,0,0,11
43,AJ DillonGB,RB,4,44,118,2.7,14,0,0,29.5,0,0,6
44,Austin EkelerLAC,RB,1,16,117,7.3,55,1,1,117,0,0,4
45,Saquon BarkleyNYG,RB,2,29,114,3.9,18,0,1,57,0,0,7
46,Kenneth GainwellPHI,RB,3,32,111,3.5,16,0,0,37,1,0,5
47,Daniel JonesNYG,QB,3,24,107,4.5,15,0,1,35.7,1,0,9
48,Josh AllenBUF,QB,4,16,106,6.6,23,1,2,26.5,2,1,9
49,Roschon JohnsonCHI,RB,4,22,103,4.7,29,1,1,25.8,0,0,5
50,Taysom HillNO,QB,4,20,101,5.1,19,0,0,25.3,0,0,6
50,Trevor LawrenceJAX,QB,4,23,101,4.4,22,1,0,25.3,1,1,7
52,Devin SingletaryHOU,RB,4,27,95,3.5,14,0,0,23.8,0,0,2
53,Jaleel McLaughlinDEN,RB,4,13,92,7.1,31,1,1,23,0,0,4
54,Clyde Edwards-HelaireKC,RB,4,25,89,3.6,16,0,1,22.3,0,0,5
55,Jaylen WarrenPIT,RB,4,25,84,3.4,18,0,0,21,1,0,4
56,Deshaun WatsonCLE,QB,3,15,83,5.5,13,0,1,27.7,2,1,7
56,Justice HillBAL,RB,3,22,83,3.8,15,0,2,27.7,0,0,6
