RK,NAME,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
58,Sam HowellWSH,QB,4,11,82,7.5,20,1,1,20.5,0,0,5
59,Damien HarrisBUF,RB,4,19,80,4.2,11,0,1,20,0,0,7
59,Rico DowdleDAL,RB,4,20,80,4,10,0,0,20,0,0,4
61,Latavius MurrayBUF,RB,4,17,77,4.5,29,1,2,19.3,0,0,6
61,Pierre Strong Jr.CLE,RB,4,13,77,5.9,40,1,1,19.3,0,0,3
63,Jamaal WilliamsNO,RB,2,27,74,2.7,11,0,0,37,1,0,3
63,Dalvin CookNYJ,RB,4,30,74,2.5,10,0,0,18.5,1,1,4
65,Zach CharbonnetSEA,RB,3,16,73,4.6,12,0,0,24.3,0,0,7
66,Jordan LoveGB,QB,4,16,72,4.5,24,2,2,18,2,0,5
67,Russell WilsonDEN,QB,4,11,70,6.4,15,0,0,17.5,0,0,8
67,Tony Jones Jr.NO,RB,4,21,70,3.3,19,0,2,17.5,0,0,6
69,Cam AkersMIN,RB,2,27,69,2.6,12,0,1,34.5,0,0,5
70,Samaje PerineDEN,RB,4,18,66,3.7,12,0,0,16.5,0,0,4
70,Chris BrooksMIA,RB,4,9,66,7.3,52,1,0,16.5,0,0,1
70,KaVontae TurpinDAL,WR,4,6,66,11,46,1,1,16.5,1,0,3
70,Rondale MooreARI,WR,4,5,66,13.2,45,1,1,16.5,0,0,1
74,Baker MayfieldTB,QB,4,23,61,2.7,10,0,0,15.3,0,0,4
74,Derius DavisLAC,WR,4,4,61,15.3,51,1,0,15.3,0,0,2
74,Bryce YoungCAR,QB,3,7,61,8.7,26,1,0,20.3,1,0,3
77,Mac JonesNE,QB,4,14,60,4.3,18,0,0,15,0,0,7
78,Aaron JonesGB,RB,2,14,59,4.2,9,0,1,29.5,0,0,3
79,Zach WilsonNYJ,QB,4,12,57,4.8,16,0,0,14.3,1,1,4
80,Justin HerbertLAC,QB,4,20,55,2.8,15,0,3,13.8,0,0,8
81,Deebo SamuelSF,WR,4,11,54,4.9,17,0,1,13.5,0,0,3
81,Antonio GibsonWSH,RB,4,13,54,4.2,13,0,0,13.5,2,1,3
83,Melvin Gordon IIIBAL,RB,2,13,53,4.1,22,1,0,26.5,0,0,2
84,Elijah MitchellSF,RB,2,16,52,3.3,18,0,0,26,0,0,2
85,Kalif RaymondDET,WR,4,2,51,25.5,40,1,0,12.8,0,0,2
85,Alvin KamaraNO,RB,1,11,51,4.6,13,0,0,51,0,0,2
85,C.J. StroudHOU,QB,4,14,51,3.6,11,0,0,12.8,1,0,5
88,Matthew StaffordLAR,QB,4,10,49,4.9,9,0,0,12.3,0,0,3
89,Desmond RidderATL,QB,4,14,47,3.4,9,0,1,11.8,0,0,3
89,Ronnie RiversLAR,RB,4,9,47,5.2,9,0,0,11.8,0,0,2
91,Dak PrescottDAL,QB,4,11,43,3.9,15,0,0,10.8,0,0,4
91,Boston ScottPHI,RB,3,6,43,7.2,18,0,0,14.3,0,0,3
93,Zamir WhiteLV,RB,4,8,39,4.9,11,0,0,9.8,1,1,2
94,Kendre MillerNO,RB,2,10,37,3.7,10,0,0,18.5,0,0,3
95,Tre TuckerLV,WR,3,1,34,34,34,1,0,11.3,0,0,1
96,Tank BigsbyJAX,RB,4,12,33,2.8,9,0,2,8.3,0,0,5
96,Deuce VaughnDAL,RB,4,17,33,1.9,13,0,0,8.3,0,0,1
98,Matt BreidaNYG,RB,3,7,31,4.4,8,0,1,10.3,0,0,2
99,Patrick TaylorGB,RB,3,9,29,3.2,10,0,0,9.7,0,0,1
99,Marquise BrownARI,WR,4,1,29,29,29,1,0,7.3,0,0,1
101,Ryan TannehillTEN,QB,4,10,28,2.8,12,0,1,7,2,0,1
102,Ty ChandlerMIN,RB,4,7,27,3.9,12,0,0,6.8,0,0,1
102,Tutu AtwellLAR,WR,4,2,27,13.5,22,1,0,6.8,0,0,1
104,Laviska Shenault Jr.CAR,WR,4,6,26,4.3,7,0,0,6.5,0,0,1
105,Kareem HuntCLE,RB,2,10,25,2.5,6,0,0,12.5,0,0,2
106,Trey SermonIND,RB,2,8,24,3,5,0,0,12,0,0,0
106,Salvon AhmedMIA,RB,3,6,24,4,10,0,0,8,0,0,1
106,Brock PurdySF,QB,4,12,24,2,17,0,2,6,2,0,5
106,Dorian Thompson-RobinsonCLE,QB,2,4,24,6,12,0,0,12,0,0,1
110,Michael CarterNYJ,RB,4,4,23,5.8,9,0,0,5.8,0,0,2
110,Skyy MooreKC,WR,4,3,23,7.7,11,0,0,5.8,0,0,1
110,Sean TuckerTB,RB,4,15,23,1.5,7,0,0,5.8,0,0,1
113,Geno SmithSEA,QB,3,8,22,2.8,15,0,0,7.3,0,0,0
113,J.K. DobbinsBAL,RB,1,8,22,2.8,4,0,1,22,0,0,1
113,Erik EzukanmaMIA,WR,2,5,22,4.4,12,0,0,11,0,0,1
113,Deven ThompkinsTB,WR,4,2,22,11,11,0,0,5.5,0,0,2
113,Craig ReynoldsDET,RB,4,7,22,3.1,8,0,0,5.5,0,0,1
113,Isaiah SpillerLAC,RB,3,8,22,2.8,6,0,0,7.3,0,0,0
119,CeeDee LambDAL,WR,4,3,21,7,12,0,0,5.3,0,0,1
119,Jordan MasonSF,RB,4,6,21,3.5,5,0,0,5.3,0,0,1
121,Chase EdmondsTB,RB,2,4,20,5,14,0,0,10,0,0,2
121,Curtis SamuelWSH,WR,4,3,20,6.7,13,0,1,5,0,0,2
123,Jimmy GaroppoloLV,QB,3,12,19,1.6,8,0,0,6.3,1,0,3
123,Tyler ScottCHI,WR,4,2,19,9.5,11,0,0,4.8,0,0,0
125,Kenny PickettPIT,QB,4,10,18,1.8,10,0,0,4.5,0,0,4
126,Kirk CousinsMIN,QB,4,5,17,3.4,10,0,0,4.3,2,1,1
127,D'Onta ForemanCHI,RB,1,5,16,3.2,11,0,0,16,0,0,2
127,Ke'Shawn VaughnTB,RB,2,9,16,1.8,8,0,0,8,0,0,0
129,Trayveon WilliamsCIN,RB,4,4,15,3.8,5,0,0,3.8,0,0,0
129,Devin DuvernayBAL,WR,4,3,15,5,8,0,0,3.8,0,0,0
129,Tua TagovailoaMIA,QB,4,11,15,1.4,7,0,0,3.8,5,1,2
129,Keaontay IngramARI,RB,3,12,15,1.3,8,0,0,5,0,0,0
133,Jerick McKinnonKC,RB,4,6,14,2.3,10,0,0,3.5,0,0,2
133,Tyreek HillMIA,WR,4,1,14,14,14,0,0,3.5,0,0,1
133,Deon JacksonIND,RB,2,13,14,1.1,7,0,0,7,1,1,1
133,DeeJay DallasSEA,RB,3,5,14,2.8,8,0,0,4.7,0,0,0
137,Tank DellHOU,WR,4,2,13,6.5,7,0,0,3.3,0,0,0
137,Hunter LuepkeDAL,RB,4,3,13,4.3,9,0,1,3.3,0,0,2
137,Xavier GipsonNYJ,WR,4,2,13,6.5,14,0,0,3.3,1,0,1
137,Zonovan KnightDET,RB,1,3,13,4.3,8,0,0,13,0,0,0
137,Marvin Mims Jr.DEN,WR,4,3,13,4.3,8,0,0,3.3,0,0,0
142,Jared GoffDET,QB,4,12,12,1,11,0,1,3,0,0,3
142,Chris EvansCIN,RB,2,2,12,6,7,0,0,6,0,0,0
144,Andy DaltonCAR,QB,2,2,11,5.5,10,0,0,5.5,0,0,1
144,Braxton BerriosMIA,WR,4,1,11,11,11,0,0,2.8,0,0,1
144,Rashid ShaheedNO,WR,4,3,11,3.7,6,0,0,2.8,0,0,0
144,Ben SkowronekLAR,WR,4,1,11,11,11,0,0,2.8,0,0,1
144,Keisean NixonGB,CB,4,1,11,11,11,0,0,2.8,0,0,1
144,Zay FlowersBAL,WR,4,5,11,2.2,6,0,0,2.8,0,0,0
144,Emanuel WilsonGB,RB,2,5,11,2.2,7,0,0,5.5,1,0,0
151,Jake FunkIND,RB,4,2,10,5,7,0,0,2.5,0,0,0
151,Gary BrightwellNYG,RB,3,5,10,2,5,0,0,3.3,0,0,0
153,Rashaad PennyPHI,RB,1,3,9,3,6,0,0,9,0,0,1
153,Treylon BurksTEN,WR,3,1,9,9,9,0,0,3,0,0,0
155,D'Ernest JohnsonJAX,RB,4,6,8,1.3,8,0,0,2,0,0,0
155,Tyler HuntleyBAL,QB,1,2,8,4,6,0,0,8,0,0,0
157,Ty Montgomery IINE,WR,4,1,7,7,7,0,0,1.8,0,0,0
157,Velus Jones Jr.CHI,WR,3,2,7,3.5,10,0,0,2.3,0,0,0
157,Chris Rodriguez Jr.WSH,RB,3,3,7,2.3,3,0,0,2.3,0,0,1
160,Keenan AllenLAC,WR,4,2,6,3,4,0,0,1.5,0,0,1
160,Kyle JuszczykSF,FB,4,3,6,2,3,0,0,1.5,0,0,1
160,Adam ThielenCAR,WR,4,1,6,6,6,0,0,1.5,0,0,0
160,Harrison BryantCLE,TE,4,3,6,2,2,0,0,1.5,0,0,3
160,Elijah DotsonLAC,RB,4,4,6,1.5,2,0,0,1.5,0,0,0
165,Adam PrenticeNO,FB,4,1,5,5,5,0,0,1.3,1,1,0
165,Demario DouglasNE,WR,4,1,5,5,5,0,0,1.3,0,0,0
167,Dare OgunbowaleHOU,RB,1,2,4,2,2,0,0,4,0,0,1
167,Mike BooneHOU,RB,3,1,4,4,4,0,0,1.3,1,0,1
167,Ashtyn DavisNYJ,S,4,1,4,4,4,0,0,1,0,0,1
167,Van JeffersonLAR,WR,4,1,4,4,4,0,0,1,0,0,0
167,Amon-Ra St. BrownDET,WR,4,1,4,4,4,0,0,1,0,0,0
167,Puka NacuaLAR,WR,4,2,4,2,4,0,0,1,0,0,1
173,Michael BurtonDEN,FB,4,1,3,3,3,0,0,0.8,0,0,1
173,Jalen Reeves-MaybinDET,LB,4,1,3,3,3,0,0,0.8,0,0,1
173,Mike WilliamsLAC,WR,3,1,3,3,3,0,0,1,0,0,0
173,Joe BurrowCIN,QB,4,8,3,0.4,5,0,0,0.8,0,0,1
173,Gardner MinshewIND,QB,4,2,3,1.5,2,0,0,0.8,0,0,0
173,Calvin Austin IIIPIT,WR,4,2,3,1.5,5,0,0,0.8,0,0,0
173,Aidan O'ConnellLV,QB,1,3,3,1,2,0,1,3,0,0,2
173,Emari DemercadoARI,RB,4,4,3,0.8,3,0,0,0.8,0,0,0
173,Elijah MooreCLE,WR,4,7,3,0.4,19,0,0,0.8,0,0,1
182,Tyrod TaylorNYG,QB,2,1,2,2,2,0,0,1,0,0,0
182,Logan ThomasWSH,TE,3,1,2,2,2,0,0,0.7,0,0,1
182,Andrew BeckHOU,FB,4,2,2,1,2,0,0,0.5,0,0,1
182,Ezekiel TurnerARI,LB,4,1,2,2,2,0,0,0.5,0,0,1
182,Gerald EverettLAC,TE,4,1,2,2,2,0,0,0.5,0,0,0
182,Kadarius ToneyKC,WR,4,2,2,1,3,0,0,0.5,0,0,0
182,Chase BrownCIN,RB,3,1,2,2,2,0,0,0.7,0,0,0
182,Ja'Marr ChaseCIN,WR,4,1,2,2,2,0,0,0.5,0,0,0
182,Deonte HartyBUF,WR,4,3,2,0.7,4,0,0,0.5,0,0,0
191,Marquise GoodwinCLE,WR,4,1,1,1,1,0,0,0.3,0,0,0
191,Derek CarrNO,QB,4,8,1,0.1,7,0,0,0.3,0,0,1
191,Nick BawdenNYJ,FB,4,1,1,1,1,0,1,0.3,0,0,1
191,Cole KmetCHI,TE,4,2,1,0.5,1,0,0,0.3,0,0,1
191,Evan HullIND,RB,1,1,1,1,1,0,0,1,0,0,0
196,Kenyan DrakeBAL,RB,1,1,0,0,0,0,0,0,0,0,0
196,Jason CabindaDET,FB,3,1,0,0,0,0,0,0,0,0,0
196,Alec IngoldMIA,FB,4,2,0,0,0,0,0,0,0,0,0
196,Connor HeywardPIT,TE,4,1,0,0,0,0,0,0,0,0,0
196,Peyton HendershotDAL,TE,3,1,0,0,0,0,0,0,0,0,0
196,Sean CliffordGB,QB,1,1,0,0,0,0,0,0,1,0,0
196,Rakim JarrettTB,WR,4,1,0,0,0,0,0,0,0,0,0
203,Blaine GabbertKC,QB,1,2,-1,-0.5,0,0,0,-1,0,0,0
203,Mike WhiteMIA,QB,1,1,-1,-1,-1,0,0,-1,0,0,0
203,Noah BrownHOU,WR,1,1,-1,-1,-1,0,0,-1,0,0,0
203,Jake BrowningCIN,QB,1,1,-1,-1,-1,0,0,-1,0,0,0
207,Cooper RushDAL,QB,2,3,-2,-0.7,0,0,0,-1,0,0,0
207,Jamal AgnewJAX,WR,3,2,-2,-1,0,0,0,-0.7,0,0,0
207,Gabe DavisBUF,WR,4,1,-2,-2,-2,0,0,-0.5,0,0,0
207,Jayden ReedGB,WR,4,1,-2,-2,-2,0,0,-0.5,0,0,0
207,Jaylen WaddleMIA,WR,3,1,-2,-2,-2,0,0,-0.7,0,0,0
212,Rashee RiceKC,WR,4,1,-3,-3,-3,0,0,-0.8,0,0,0
213,Sam DarnoldSF,QB,3,4,-4,-1,-1,0,0,-1.3,0,0,0
213,Kyle PittsATL,TE,4,1,-4,-4,-4,0,0,-1,0,0,0
215,Kyle AllenBUF,QB,3,7,-7,-1,-1,0,0,-2.3,0,0,0
